giornata,casa,ospite,esito
6,Napoli,Spezia,x
6,Inter,Torino,x
6,Sampdoria,Milan,x
6,Atalanta,Cremonese,x
6,Bologna,Fiorentina,x
6,Lecce,Monza,x
6,Sassuolo,Udinese,x
6,Lazio,Verona,x
6,Juventus,Salernitana,x
6,Empoli,Roma,x
7,Salernitana,Lecce,x
7,Bologna,Empoli,x
7,Spezia,Sampdoria,x
7,Torino,Sassuolo,x
7,Udinese,Inter,x
7,Cremonese,Lazio,x
7,Fiorentina,Verona,x
7,Monza,Juventus,x
7,Roma,Atalanta,x
7,Milan,Napoli,x
8,Napoli,Torino,x
8,Inter,Roma,x
8,Empoli,Milan,x
8,Lazio,Spezia,x
8,Lecce,Cremonese,x
8,Sampdoria,Monza,x
8,Sassuolo,Salernitana,x
8,Atalanta,Fiorentina,x
8,Juventus,Bologna,x
8,Verona,Udinese,x
9,Sassuolo,Inter,x
9,Milan,Juventus,x
9,Bologna,Sampdoria,x
9,Torino,Empoli,x
9,Monza,Spezia,x
9,Salernitana,Verona,x
9,Udinese,Atalanta,x
9,Cremonese,Napoli,x
9,Roma,Lecce,x
9,Fiorentina,Lazio,x
10,Empoli,Monza,x
10,Torino,Juventus,x
10,Atalanta,Sassuolo,x
10,Inter,Salernitana,x
10,Lazio,Udinese,x
10,Spezia,Cremonese,x
10,Napoli,Bologna,x
10,Verona,Milan,x
10,Sampdoria,Roma,x
10,Lecce,Fiorentina,x
11,Juventus,Empoli,x
11,Salernitana,Spezia,x
11,Milan,Monza,x
11,Fiorentina,Inter,x
11,Udinese,Torino,x
11,Bologna,Lecce,x
11,Atalanta,Lazio,x
11,Roma,Napoli,x
11,Cremonese,Sampdoria,x
11,Sassuolo,Verona,x
12,Napoli,Sassuolo,x
12,Lecce,Juventus,x
12,Inter,Sampdoria,x
12,Empoli,Atalanta,x
12,Cremonese,Udinese,x
12,Spezia,Fiorentina,x
12,Lazio,Salernitana,x
12,Torino,Milan,x
12,Verona,Roma,x
12,Monza,Bologna,x
13,Udinese,Lecce,x
13,Empoli,Sassuolo,x
13,Salernitana,Cremonese,x
13,Atalanta,Napoli,x
13,Milan,Spezia,x
13,Bologna,Torino,x
13,Sampdoria,Fiorentina,x
13,Monza,Verona,x
13,Roma,Lazio,x
13,Juventus,Inter,x
14,Napoli,Empoli,x
14,Spezia,Udinese,x
14,Cremonese,Milan,x
14,Lecce,Atalanta,x
14,Sassuolo,Roma,x
14,Fiorentina,Salernitana,x
14,Inter,Bologna,x
14,Torino,Sampdoria,x
14,Verona,Juventus,x
14,Lazio,Monza,x
15,Empoli,Cremonese,x
15,Napoli,Udinese,x
15,Sampdoria,Lecce,x
15,Bologna,Sassuolo,x
15,Atalanta,Inter,x
15,Verona,Spezia,x
15,Monza,Salernitana,x
15,Roma,Torino,x
15,Milan,Fiorentina,x
15,Juventus,Lazio,x
16,Salernitana,Milan,x
16,Sassuolo,Sampdoria,x
16,Spezia,Atalanta,x
16,Torino,Verona,x
16,Roma,Bologna,x
16,Lecce,Lazio,x
16,Cremonese,Juventus,x
16,Fiorentina,Monza,x
16,Inter,Napoli,x
16,Udinese,Empoli,x
17,Fiorentina,Sassuolo,x
17,Juventus,Udinese,x
17,Monza,Inter,x
17,Salernitana,Torino,x
17,Lazio,Empoli,x
17,Spezia,Lecce,x
17,Sampdoria,Napoli,x
17,Milan,Roma,x
17,Verona,Cremonese,x
17,Bologna,Atalanta,x
18,Napoli,Juventus,x
18,Cremonese,Monza,x
18,Lecce,Milan,x
