giornata,partita,titolari
1,Milan,Maignan
1,Milan,Calabria
1,Milan,Tomori
1,Milan,Kalulu
1,Milan,Hernandez T.
1,Milan,Bennacer
1,Milan,Krunic
1,Milan,Messias
1,Milan,Diaz B.
1,Milan,Rafael Leao
1,Milan,Rebic
1,Udinese,Deulofeu
1,Udinese,Masina
1,Udinese,Makengo
1,Udinese,Walace
1,Udinese,Pereyra
1,Udinese,Soppy
1,Udinese,Perez N.
1,Udinese,Nuytinck
1,Udinese,Rodrigo Becao
1,Udinese,Silvestri
1,Sampdoria,Audero
1,Sampdoria,Bereszynski
1,Sampdoria,Ferrari A.
1,Sampdoria,Colley
1,Sampdoria,Augello
1,Sampdoria,Leris
1,Sampdoria,Rincon
1,Sampdoria,Vieira
1,Sampdoria,Sabiri
1,Sampdoria,Djuricic
1,Sampdoria,Caputo
1,Atalanta,Muriel
1,Atalanta,Pasalic
1,Atalanta,Maehle
1,Atalanta,Koopmeiners
1,Atalanta,De Roon
1,Atalanta,Hateboer
1,Atalanta,Djimsiti
1,Atalanta,Okoli
1,Atalanta,Toloi
1,Atalanta,Musso
1,Lecce,Falcone
1,Lecce,Gendrey
1,Lecce,Cetin
1,Lecce,Baschirotto
1,Lecce,Gallo
1,Lecce,Bistrovic
1,Lecce,Hjulmand
1,Lecce,Gonzalez J.
1,Lecce,Strefezza
1,Lecce,Ceesay
1,Lecce,Di Francesco F.
1,Inter,Martinez L.
1,Inter,Gosens
1,Inter,Calhanoglu
1,Inter,Brozovic
1,Inter,Barella
1,Inter,Darmian
1,Inter,Dimarco
1,Inter,De Vrij
1,Inter,Skriniar
1,Inter,Handanovic
1,Monza,Di Gregorio
1,Monza,Marlon
1,Monza,Mari'
1,Monza,Carlos Augusto
1,Monza,Birindelli
1,Monza,Valoti
1,Monza,Barberis
1,Monza,Ranocchia F.
1,Monza,D'alessandro
1,Monza,Caprari
1,Monza,Petagna
1,Torino,Radonjic
1,Torino,Miranchuk
1,Torino,Aina
1,Torino,Linetty
1,Torino,Ricci S.
1,Torino,Singo
1,Torino,Rodriguez R.
1,Torino,Djidji
1,Torino,Adopo
1,Torino,Milinkovic-Savic V.
1,Fiorentina,Gollini
1,Fiorentina,Benassi
1,Fiorentina,Milenkovic
1,Fiorentina,Martinez Quarta
1,Fiorentina,Biraghi
1,Fiorentina,Bonaventura
1,Fiorentina,Amrabat
1,Fiorentina,Maleh
1,Fiorentina,Kouame'
1,Fiorentina,Jovic
1,Fiorentina,Sottil
1,Cremonese,Okereke
1,Cremonese,Zanimacchia
1,Cremonese,Sernicola
1,Cremonese,Pickel
1,Cremonese,Escalante
1,Cremonese,Ghiglione
1,Cremonese,Chiriches
1,Cremonese,Vasquez
1,Cremonese,Bianchetti
1,Cremonese,Radu I.
1,Lazio,Luis Maximiano
1,Lazio,Lazzari
1,Lazio,Patric
1,Lazio,Romagnoli
1,Lazio,Marusic
1,Lazio,Milinkovic-Savic
1,Lazio,Cataldi
1,Lazio,Basic
1,Lazio,Felipe Anderson
1,Lazio,Immobile
1,Lazio,Zaccagni
1,Bologna,Sansone
1,Bologna,Cambiaso
1,Bologna,Soriano
1,Bologna,Schouten
1,Bologna,Dominguez
1,Bologna,De Silvestri
1,Bologna,Lykogiannis
1,Bologna,Medel
1,Bologna,Soumaoro
1,Bologna,Skorupski
1,Salernitana,Sepe
1,Salernitana,Bronn
1,Salernitana,Fazio
1,Salernitana,Gyomber
1,Salernitana,Candreva
1,Salernitana,Kastanos
1,Salernitana,Coulibaly L.
1,Salernitana,Vilhena
1,Salernitana,Mazzocchi
1,Salernitana,Botheim
1,Salernitana,Bonazzoli
1,Roma,Dybala
1,Roma,Zaniolo
1,Roma,Spinazzola
1,Roma,Pellegrini Lo.
1,Roma,Cristante
1,Roma,Karsdorp
1,Roma,Ibanez
1,Roma,Smalling
1,Roma,Mancini
1,Roma,Rui Patricio
1,Spezia,Dragowski
1,Spezia,Caldara
1,Spezia,Kiwior
1,Spezia,Nikolaou
1,Spezia,Gyasi
1,Spezia,Agudelo
1,Spezia,Bourabia
1,Spezia,Bastoni S.
1,Spezia,Reca
1,Spezia,Verde
1,Spezia,Nzola
1,Empoli,Destro
1,Empoli,Bajrami
1,Empoli,Bandinelli
1,Empoli,Marin
1,Empoli,Henderson L.
1,Empoli,Parisi
1,Empoli,Luperto
1,Empoli,Ismajli
1,Empoli,Stojanovic
1,Empoli,Vicario
1,Verona,Montipo'
1,Verona,Dawidowicz
