giornata,squadra,titolare
1,Genoa,GOLLINI
1,Genoa,VOGLIACCO
1,Genoa,BANI
1,Genoa,DE WINTER
1,Genoa,ZANOLI
1,Genoa,FRENDRUP
1,Genoa,BADELJ
1,Genoa,MALINOVSKYI
1,Genoa,MARTIN
1,Genoa,MESSIAS
1,Genoa,VITINHA O.
1,Inter,MARTINEZ L.
1,Inter,THURAM
1,Inter,DIMARCO
1,Inter,MKHITARYAN
1,Inter,CALHANOGLU
1,Inter,BARELLA
1,Inter,DARMIAN
1,Inter,BASTONI
1,Inter,ACERBI
1,Inter,BISSECK
1,Inter,SOMMER
1,Parma,SUZUKI
1,Parma,COULIBALY W.
1,Parma,CIRCATI
1,Parma,BALOGH
1,Parma,VALERI
1,Parma,ESTEVEZ
1,Parma,SOHM
1,Parma,MAN
1,Parma,BERNABE'
1,Parma,MIHAILA
1,Parma,BONNY
1,Fiorentina,KEAN
1,Fiorentina,KOUAME'
1,Fiorentina,COLPANI
1,Fiorentina,BIRAGHI
1,Fiorentina,AMRABAT
1,Fiorentina,MANDRAGORA
1,Fiorentina,DODO'
1,Fiorentina,COMUZZO
1,Fiorentina,MARTINEZ QUARTA
1,Fiorentina,PONGRACIC
1,Fiorentina,TERRACCIANO
1,Empoli,VASQUEZ D.
1,Empoli,WALUKIEWICZ
1,Empoli,ISMAJLI
1,Empoli,VITI
1,Empoli,GYASI
1,Empoli,HENDERSON L.
1,Empoli,MALEH
1,Empoli,PEZZELLA GIU.
1,Empoli,FAZZINI
1,Empoli,ESPOSITO SE.
1,Empoli,COLOMBO
1,Monza,PETAGNA
1,Monza,VIGNATO S.
1,Monza,MALDINI
1,Monza,KYRIAKOPOULOS
1,Monza,PESSINA
1,Monza,BONDO
1,Monza,BIRINDELLI
1,Monza,CALDIROLA
1,Monza,MARI'
1,Monza,IZZO
1,Monza,PIZZIGNACCO
1,Milan,MAIGNAN
1,Milan,CALABRIA
1,Milan,TOMORI
1,Milan,THIAW
1,Milan,SAELEMAEKERS
1,Milan,BENNACER
1,Milan,LOFTUS-CHEEK
1,Milan,CHUKWUEZE
1,Milan,PULISIC
1,Milan,LEAO
1,Milan,JOVIC
1,Torino,SANABRIA
1,Torino,ZAPATA D.
1,Torino,LAZARO
1,Torino,ILIC
1,Torino,RICCI S.
1,Torino,LINETTY
1,Torino,BELLANOVA
1,Torino,MASINA
1,Torino,COCO
1,Torino,VOJVODA
1,Torino,MILINKOVIC-SAVIC V.
1,Bologna,SKORUPSKI
1,Bologna,POSCH
1,Bologna,ERLIC
1,Bologna,BEUKEMA
1,Bologna,LYKOGIANNIS
1,Bologna,MORO N.
1,Bologna,FREULER
1,Bologna,FABBIAN
1,Bologna,ORSOLINI
1,Bologna,CASTRO S.
1,Bologna,NDOYE
1,Udinese,LUCCA
1,Udinese,BRENNER
1,Udinese,THAUVIN
1,Udinese,KAMARA H.
1,Udinese,LOVRIC
1,Udinese,PAYERO
1,Udinese,EHIZIBUE
1,Udinese,GIANNETTI L.
1,Udinese,BIJOL
1,Udinese,PEREZ N.
1,Udinese,OKOYE
1,Verona,MONTIPO'
1,Verona,TCHATCHOUA
1,Verona,COPPOLA D.
1,Verona,DAWIDOWICZ
1,Verona,FRESE
1,Verona,DUDA
1,Verona,SERDAR
1,Verona,ROCHA LIVRAMENTO
1,Verona,KASTANOS
1,Verona,LAZOVIC
1,Verona,TENGSTEDT
1,Napoli,SIMEONE
1,Napoli,KVARATSKHELIA
1,Napoli,POLITANO
1,Napoli,SPINAZZOLA
1,Napoli,ZAMBO ANGUISSA
1,Napoli,LOBOTKA
1,Napoli,MAZZOCCHI
1,Napoli,JUAN JESUS
1,Napoli,RRAHMANI
1,Napoli,DI LORENZO
1,Napoli,MERET
1,Cagliari,SCUFFET
1,Cagliari,ZAPPA
1,Cagliari,WIETESKA
1,Cagliari,LUPERTO
1,Cagliari,AZZI
1,Cagliari,DEIOLA
1,Cagliari,PRATI
1,Cagliari,MARIN
1,Cagliari,AUGELLO
1,Cagliari,PICCOLI
1,Cagliari,LUVUMBO
1,Roma,ZALEWSKI
1,Roma,DOVBYK
1,Roma,SOULE'
1,Roma,PELLEGRINI LO.
1,Roma,CRISTANTE
1,Roma,LE FEE
1,Roma,ANGELINO
1,Roma,N'DICKA
1,Roma,MANCINI
1,Roma,CELIK
1,Roma,SVILAR
1,Lazio,PROVEDEL
1,Lazio,LAZZARI
1,Lazio,CASALE
1,Lazio,ROMAGNOLI
1,Lazio,MARUSIC
1,Lazio,GUENDOUZI
1,Lazio,ROVELLA
1,Lazio,DELE-BASHIRU
1,Lazio,NOSLIN
1,Lazio,CASTELLANOS
1,Lazio,ZACCAGNI
1,Venezia,GYTKJAER
1,Venezia,ELLERTSSON
1,Venezia,ORISTANIO
1,Venezia,ZAMPANO
1,Venezia,DUNCAN
1,Venezia,ANDERSEN M.K.
1,Venezia,SAGRADO
1,Venezia,SVERKO
1,Venezia,SVOBODA
1,Venezia,ALTARE
1,Venezia,JORONEN
1,Lecce,FALCONE
1,Lecce,GENDREY
1,Lecce,GASPAR K.
1,Lecce,BASCHIROTTO
1,Lecce,GALLO
1,Lecce,RAMADANI
1,Lecce,PIERRET
1,Lecce,TETE MORENTE
1,Lecce,RAFIA
1,Lecce,DORGU
1,Lecce,KRSTOVIC
1,Atalanta,RETEGUI
1,Atalanta,DE KETELAERE
1,Atalanta,PASALIC
1,Atalanta,RUGGERI
1,Atalanta,BRESCIANINI
1,Atalanta,EDERSON D.S.
1,Atalanta,ZAPPACOSTA
1,Atalanta,DE ROON
1,Atalanta,HIEN
1,Atalanta,DJIMSITI
1,Atalanta,MUSSO
1,Juventus,DI GREGORIO
1,Juventus,CAMBIASO
1,Juventus,BREMER
1,Juventus,GATTI
1,Juventus,CABAL
1,Juventus,LOCATELLI
1,Juventus,THURAM K.
1,Juventus,WEAH
1,Juventus,YILDIZ
